Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Cluster_num
74,TL Suman,39,13,676.0,78.0,22.67142857142857,562,1.20284697509,0,2,55,26,3
75,CH Morris,28,17,439.0,82.0,36.270833333333336,263,1.66920152091,0,2,33,23,3
76,S Gopal,3,1,14.0,11.0,inf,27,0.518518518519,0,0,1,0,1
77,DB Ravi Teja,25,9,375.0,60.0,18.39333333333333,307,1.22149837134,0,1,35,9,3
78,P Sahu,2,2,19.0,18.0,inf,13,1.4615384615399998,0,0,1,1,1
79,Washington Sundar,5,5,9.0,5.0,inf,9,1.0,0,0,0,0,1
80,Vishnu Vinod,3,0,19.0,9.0,6.333333333333332,26,0.730769230769,0,0,1,1,1
81,Ankit Soni,3,1,7.0,7.0,3.5,7,1.0,0,0,0,1,1
82,R Sathish,24,10,270.0,27.0,19.729166666666668,223,1.21076233184,0,0,22,6,3
83,IK Pathan,82,35,1150.0,60.0,20.965123456790124,927,1.2405609493,0,1,88,38,2
84,AC Gilchrist,80,14,2069.0,109.0,33.134188034188035,1449,1.4278812974500001,2,11,239,92,0
85,M Morkel,20,10,126.0,23.0,inf,89,1.41573033708,0,0,11,5,1
86,ST Jayasuriya,30,8,768.0,114.0,30.0,520,1.47692307692,1,4,84,39,3
87,BB Samantray,8,4,125.0,55.0,inf,111,1.12612612613,0,1,13,2,1
88,Niraj Patel,6,1,121.0,57.0,21.66666666666667,118,1.0254237288099999,0,1,14,1,1
89,D Wiese,8,3,127.0,47.0,inf,89,1.42696629213,0,0,12,4,1
90,DR Martyn,1,0,19.0,19.0,19.0,24,0.791666666667,0,0,1,0,1
91,Anureet Singh,7,3,33.0,15.0,10.5,40,0.825,0,0,2,1,1
92,A Uniyal,2,1,4.0,4.0,4.0,7,0.5714285714289999,0,0,0,0,1
93,A Chopra,6,3,53.0,24.0,inf,70,0.7571428571430001,0,0,7,0,1
94,LMP Simmons,29,6,1079.0,100.0,36.90665584415584,838,1.28758949881,1,11,109,44,2
95,D du Preez,1,0,10.0,10.0,10.0,13,0.769230769231,0,0,0,0,1
96,PV Tambe,6,5,18.0,7.0,inf,37,0.48648648648599996,0,0,1,0,1
97,RE van der Merwe,15,6,159.0,35.0,12.6,141,1.1276595744700002,0,0,11,8,1
98,KV Sharma,34,14,317.0,39.0,inf,266,1.19172932331,0,0,18,14,3
99,ER Dwivedi,2,0,24.0,19.0,12.0,14,1.7142857142899999,0,0,2,2,1
100,S Narwal,4,0,37.0,23.0,13.833333333333336,27,1.37037037037,0,0,6,0,1
101,B Akhil,11,5,76.0,27.0,13.888888888888893,53,1.4339622641499998,0,0,5,5,1
102,TD Paine,2,0,10.0,8.0,5.0,24,0.416666666667,0,0,0,0,1
103,KB Arun Karthik,8,4,51.0,19.0,inf,48,1.0625,0,0,4,1,1
104,KA Pollard,112,37,2354.0,78.0,30.85734126984127,1557,1.51188182402,0,12,158,148,0
105,SR Watson,98,21,2628.0,104.0,35.37290394790395,1873,1.40309663641,2,14,258,122,0
106,NLTC Perera,30,6,424.0,40.0,12.502380952380953,301,1.40863787375,0,0,23,26,3
107,R McLaren,13,7,159.0,51.0,32.5,169,0.9408284023669999,0,1,14,1,1
108,KJ Abbott,3,2,13.0,12.0,13.0,8,1.625,0,0,0,1,1
109,VR Aaron,9,6,46.0,17.0,,54,0.8518518518520001,0,0,2,2,1
110,JC Buttler,24,9,528.0,77.0,35.4375,354,1.49152542373,0,1,50,26,3
111,GC Smith,29,6,739.0,91.0,27.79513888888889,659,1.12139605463,0,4,94,9,3
112,AA Chavan,3,2,12.0,7.0,inf,11,1.09090909091,0,0,2,0,1
113,MK Tiwary,79,33,1648.0,75.0,34.77777777777778,1381,1.19333816075,0,7,152,39,2
